Cluster,RA,DEC,GAL_L,GAL_B,R_Sun,DR_Sun,R_GC,DR_GC,Mass,DMass,V_mag,DV_mag,M/L_V,DM/L_V,rc,rh_l,rh_m,rt,rho_c,rho_h_m,RV,ERV,sig0,mualpha,emualpha,mu_delta,emudelta,rhopmrad,sig_c,sig_h_m,Trh,MF,F_REM,vesc,etac,etah,A_Rot,DA_Rot,P_Rot,X,DX,Y,DY,Z,DZ,U,DU,V,DV,W,DW,RPERI,ERPERI,RAPO,ERAPO,[Fe/H],E(B-V),V_HB,V_t,M_V_t,U-B,B-V,V-R,V-I,spt,ellip,v_r,ev_r,v_LSR,sig_v,esig_v,c,coll,r_c,r_h
Ter_2,261.88792,-30.80233,356.319,2.298,7.75,0.33,0.74,0.16,136000.0,24600.0,13.11,0.11,2.27,0.46,0.42,2.43,4.16,11.28,4.38,2.37,134.56,0.96,5.7,-2.17,0.041,-6.263,0.038,0.05,4.31,3.18,9.03,-0.18,0.52,23.0,-0.38,-0.09,,,,0.45,0.32,-0.5,0.02,0.31,0.01,-132.6,0.97,8.22,1.44,-48.77,1.47,0.16,0.04,0.89,0.23,-0.69,1.87,20.87,14.29,-5.88,,,,,,,109.0,15.0,116.9,,,2.5,c,0.03,1.52
NGC_6366,261.93436,-5.07986,18.409,16.036,3.44,0.05,5.23,0.04,37600.0,1930.0,8.85,0.05,1.71,0.11,1.96,3.77,5.56,34.82,2.11,1.42,-120.65,0.19,2.4,-0.332,0.025,-5.16,0.024,0.01,2.81,2.39,8.99,-0.16,0.49,8.8,-0.26,-0.1,0.63,0.6,66.6,5.04,0.05,1.05,0.02,0.95,0.01,65.2,0.24,147.18,0.39,-62.2,0.39,2.21,0.03,5.71,0.04,-0.59,0.71,15.65,9.2,-5.74,0.97,1.44,,,,0.16,-122.2,0.5,-108.6,1.3,0.5,0.74,,2.17,2.92
Ter_4,262.66251,-31.59553,356.024,1.308,7.59,0.31,0.82,0.2,200000.0,56300.0,13.43,0.27,2.82,1.06,0.57,3.43,6.06,16.86,4.07,2.08,-48.96,1.57,5.5,-5.462,0.06,-3.711,0.048,0.19,4.12,3.06,9.43,-0.82,0.04,22.8,-0.43,-0.07,,,,0.61,0.31,-0.53,0.02,0.17,0.01,55.02,1.57,36.73,1.88,96.93,2.05,0.19,0.05,0.86,0.21,-1.41,2.0,21.07,16.0,-4.48,,,,,,,-50.0,2.9,-42.3,,,0.9,,0.9,1.85
HP_1,262.77167,-29.98167,357.425,2.115,7.0,0.14,1.26,0.13,124000.0,17100.0,11.07,0.15,3.28,0.56,1.26,2.91,3.74,19.0,3.19,2.45,39.76,1.22,5.3,2.523,0.039,-10.093,0.037,0.04,3.7,3.24,8.89,0.53,0.7,19.4,-0.29,-0.09,,,,1.19,0.14,-0.31,0.01,0.26,0.01,-49.62,1.21,16.18,1.26,-244.52,1.27,0.52,0.16,1.87,0.15,-1.0,1.12,18.7,11.59,-6.46,,,,,,,45.8,0.7,54.0,,,2.5,c,0.03,3.1
FSR_1758,262.8,-39.808,349.217,-3.292,11.09,0.74,3.46,0.63,628000.0,55900.0,9.14,0.09,1.58,0.17,10.65,12.55,17.04,119.62,1.41,1.18,227.31,0.59,5.8,-2.881,0.026,2.519,0.025,-0.01,2.83,2.67,10.41,-1.5,0.29,18.8,-0.1,-0.05,,,,-2.69,0.72,-2.07,0.14,-0.64,0.04,-250.51,0.63,235.21,1.34,193.01,1.35,3.63,0.62,13.27,3.43,,,,,,,,,,,,,,,,,,,,
NGC_6362,262.9791,-67.04833,325.555,-17.57,7.65,0.07,5.2,0.01,127000.0,3170.0,7.45,0.06,1.87,0.08,2.89,5.13,7.23,51.84,2.19,1.6,-14.58,0.18,3.9,-5.506,0.024,-4.763,0.024,-0.0,3.05,2.69,9.42,-0.48,0.68,13.8,-0.19,-0.11,0.47,0.4,75.2,2.16,0.05,-4.12,0.04,-2.31,0.02,117.15,0.56,40.42,0.74,99.9,0.83,2.65,0.03,5.24,0.02,-0.99,0.09,15.33,7.73,-6.95,0.29,0.85,0.56,1.14,G3,0.07,-13.1,0.6,-15.6,2.8,0.4,1.09,,1.13,2.05
Liller_1,263.35233,-33.38956,354.84,-0.161,8.06,0.34,0.74,0.07,915000.0,147000.0,15.73,0.12,2.72,0.67,0.19,1.11,2.01,36.89,6.05,4.13,60.36,2.44,21.8,-5.403,0.109,-7.431,0.077,0.3,5.76,4.63,8.85,0.11,0.52,89.5,-0.42,-0.07,,,,0.15,0.34,-0.72,0.03,-0.02,0.0,-39.74,2.46,-102.38,3.33,25.72,3.83,0.09,0.05,0.86,0.09,-0.33,3.07,24.84,16.77,-7.32,,,,,,,52.0,15.0,59.2,,,2.3,,0.06,
NGC_6380,263.61861,-39.06953,350.182,-3.422,9.61,0.3,2.15,0.21,334000.0,4730.0,10.7,0.13,2.9,0.32,1.12,3.15,4.4,39.6,3.71,2.67,-1.48,0.73,8.2,-2.183,0.031,-3.233,0.03,0.01,4.14,3.53,9.2,0.24,0.75,31.0,-0.3,-0.06,,,,-1.27,0.3,-1.64,0.05,-0.57,0.02,20.39,0.76,77.45,1.37,11.55,1.4,0.3,0.05,2.1,0.23,-0.75,1.17,19.5,11.31,-7.5,,2.01,,,,,-3.6,2.5,2.1,,,1.55,c:,0.34,0.74
Ter_1,263.94667,-30.48178,357.558,0.991,5.67,0.17,2.52,0.16,150000.0,25000.0,12.4,0.12,1.73,0.35,0.32,1.52,2.15,32.33,4.78,3.27,56.75,1.61,8.1,-2.806,0.055,-4.861,0.055,0.01,4.68,3.8,8.54,-0.1,0.04,32.2,-0.43,-0.11,,,,2.51,0.17,-0.24,0.01,0.1,0.0,-61.48,1.6,99.16,1.49,1.27,1.48,0.59,0.1,2.68,0.2,-1.03,1.99,20.96,15.9,-4.41,,,,,,,114.0,14.0,122.0,,,2.5,c,0.04,3.82
Ton_2,264.03929,-38.54092,350.805,-3.414,6.99,0.34,1.76,0.19,69100.0,16200.0,11.66,0.09,2.13,0.51,1.16,2.89,4.6,22.41,2.87,1.92,-184.72,1.12,3.4,-5.904,0.031,-0.755,0.029,0.03,3.37,2.83,9.01,-0.82,0.1,13.6,-0.39,-0.12,,,,1.29,0.33,-1.11,0.05,-0.42,0.02,182.15,1.12,155.86,0.99,169.59,1.01,1.82,0.14,3.05,0.31,-0.7,1.24,19.1,12.24,-6.17,,,,,,,-184.4,2.2,-178.6,,,1.3,,0.54,1.3
NGC_6388,264.07178,-44.7355,345.556,-6.738,11.17,0.16,3.99,0.13,1250000.0,10800.0,6.82,0.05,2.19,0.06,0.42,2.57,4.34,100.55,5.34,3.26,83.11,0.45,17.4,-1.316,0.026,-2.709,0.026,-0.01,5.3,4.1,9.49,-0.43,0.5,70.2,-0.36,-0.05,1.51,0.65,99.5,-2.57,0.16,-2.77,0.04,-1.31,0.02,-49.56,0.57,78.56,1.34,-19.19,1.37,1.15,0.03,4.07,0.13,-0.55,0.37,16.85,6.72,-9.41,0.66,1.17,0.71,1.47,G2,0.01,80.1,0.8,84.2,18.9,0.8,1.75,,0.12,0.52
NGC_6402,264.40065,-3.24592,21.324,14.804,9.14,0.25,3.97,0.11,592000.0,29700.0,7.87,0.07,2.12,0.16,2.16,3.52,5.14,73.09,3.26,2.72,-60.71,0.45,9.9,-3.59,0.025,-5.059,0.025,0.01,4.0,3.66,9.49,-0.58,0.46,34.8,-0.23,-0.1,1.58,0.88,97.7,-0.06,0.23,3.21,0.09,2.34,0.06,-46.73,0.63,-20.82,1.05,19.78,1.08,0.53,0.07,4.28,0.15,-1.28,0.6,17.3,7.59,-9.1,0.57,1.25,0.81,1.64,F4,0.11,-66.1,1.8,-52.1,,,0.99,,0.79,1.3
NGC_6401,264.65219,-23.9096,3.45,3.98,8.06,0.24,0.75,0.04,145000.0,2440.0,9.9,0.12,3.28,0.16,0.53,2.43,3.28,13.25,4.12,2.69,-105.44,2.5,6.4,-2.748,0.035,1.444,0.034,0.01,4.25,3.42,8.86,0.0,0.63,25.4,-0.36,-0.11,,,,0.15,0.23,0.48,0.01,0.56,0.02,101.55,2.52,236.46,1.31,117.97,1.35,0.29,0.1,1.55,0.13,-1.02,0.72,18.0,9.45,-7.9,0.93,1.58,1.02,2.01,F9,0.15,-65.0,8.6,-55.3,,,1.69,,0.25,1.91
NGC_6397,265.17538,-53.67434,338.165,-11.96,2.48,0.02,6.01,0.02,96600.0,1260.0,5.45,0.05,1.66,0.07,0.04,2.16,3.9,52.44,6.41,2.3,18.51,0.08,5.3,3.26,0.023,-17.664,0.022,-0.0,5.29,3.09,8.94,-0.76,0.56,21.1,-0.37,-0.11,0.48,0.17,100.0,5.92,0.02,-0.9,0.01,-0.51,0.0,58.31,0.13,106.6,0.25,-130.52,0.26,2.61,0.02,6.3,0.01,-2.02,0.18,12.87,5.73,-6.64,0.12,0.73,0.49,1.03,F4,0.07,18.8,0.1,20.3,4.5,0.2,2.5,c,0.05,2.9
Pal_6,265.92581,-26.22499,2.09,1.779,7.05,0.45,1.19,0.4,94500.0,20600.0,11.6,0.11,1.53,0.34,0.95,2.22,2.89,15.48,3.43,2.67,177.0,1.35,5.3,-9.222,0.038,-5.347,0.036,0.03,3.82,3.36,8.67,0.55,0.06,19.5,-0.29,-0.13,,,,1.14,0.45,0.26,0.02,0.22,0.01,-194.09,1.35,-54.82,1.22,181.52,1.27,0.32,0.11,2.1,0.7,-0.91,1.46,19.0,11.55,-6.79,,2.83,,,,,181.0,2.8,190.2,,,1.1,,0.66,1.2
NGC_6426,266.22796,3.17014,28.087,16.234,20.71,0.35,14.45,0.33,71700.0,23800.0,11.13,0.06,1.99,0.66,2.84,5.18,8.0,86.11,1.92,1.22,-210.51,0.51,2.8,-1.828,0.026,-2.999,0.026,0.02,2.78,2.35,9.43,-0.91,0.45,10.0,-0.27,-0.11,,,,-9.36,0.3,9.36,0.16,5.79,0.1,11.2,1.44,-149.57,2.32,-28.47,2.49,3.64,0.39,16.97,0.54,-2.15,0.36,18.16,11.01,-6.67,0.35,1.02,,1.28,G1,0.15,-162.0,23.0,-146.9,,,1.7,,0.26,0.92
Djor_1,266.86958,-33.06639,356.675,-2.484,9.88,0.65,1.82,0.59,79700.0,13300.0,13.08,0.19,1.83,0.37,0.97,4.06,5.57,24.37,3.08,1.74,-359.18,1.64,3.6,-4.693,0.046,-8.468,0.041,0.02,3.48,2.7,9.11,0.28,0.62,14.3,-0.33,-0.09,,,,-1.68,0.65,-0.57,0.04,-0.43,0.03,374.13,1.63,-179.25,1.99,6.28,2.11,1.2,0.31,9.24,3.65,-1.51,1.58,21.15,13.6,-6.98,,,,,,,-362.4,3.6,-355.0,,,1.5,,0.5,1.59
Ter_5,267.0202,-24.77906,3.839,1.687,6.62,0.15,1.65,0.13,935000.0,68700.0,12.36,0.08,2.53,0.26,0.51,1.86,3.77,48.83,4.92,3.34,-82.57,0.73,15.5,-1.989,0.068,-5.243,0.066,0.06,5.04,4.11,9.35,-0.51,0.05,57.2,-0.14,-0.02,7.97,2.38,100.0,1.58,0.15,0.44,0.01,0.19,0.0,58.74,0.74,74.08,2.08,-26.6,2.12,0.25,0.04,1.63,0.15,-0.23,2.28,22.04,13.85,-7.42,2.13,2.77,,,,,-93.0,2.0,-83.5,,,1.62,,0.16,0.72
NGC_6440,267.22017,-20.36042,7.729,3.801,8.25,0.24,1.23,0.03,489000.0,47200.0,8.97,0.14,1.56,0.24,0.35,1.27,2.14,32.65,5.2,3.78,-69.39,0.93,14.6,-1.187,0.036,-4.02,0.035,0.01,5.15,4.31,8.78,0.37,0.5,57.7,-0.35,-0.09,3.93,2.74,87.5,0.02,0.24,1.11,0.03,0.55,0.02,33.49,0.94,85.97,1.37,-37.88,1.41,0.22,0.06,1.26,0.06,-0.36,1.07,18.7,9.2,-8.75,1.47,1.97,1.24,2.51,G4,0.01,-76.6,2.7,-65.9,,,1.62,,0.14,0.48
NGC_6441,267.55441,-37.05145,353.532,-5.006,12.73,0.16,4.78,0.15,1320000.0,11000.0,7.12,0.09,1.77,0.13,0.53,2.11,3.47,111.55,5.19,3.59,18.47,0.56,19.1,-2.551,0.028,-5.348,0.028,0.03,5.25,4.33,9.33,-0.3,0.5,75.2,-0.34,-0.07,1.52,1.66,55.3,-4.42,0.16,-1.43,0.02,-1.11,0.01,13.43,0.6,-103.44,1.67,-25.32,1.68,1.59,0.13,4.71,0.17,-0.46,0.47,17.51,7.15,-9.63,0.81,1.27,0.79,1.62,G2,0.02,16.5,1.0,22.9,18.0,0.2,1.74,,0.13,0.57
Ter_6,267.69325,-31.27539,358.571,-2.162,7.27,0.35,0.97,0.31,104000.0,1070.0,14.47,0.08,1.78,0.12,0.31,1.03,1.33,19.34,4.78,3.72,136.45,1.5,8.4,-4.979,0.048,-7.431,0.039,0.14,4.7,4.05,8.07,1.38,0.08,31.7,-0.33,-0.12,,,,0.91,0.35,-0.18,0.01,-0.27,0.01,-140.36,1.5,-58.96,1.45,18.73,1.59,0.2,0.03,1.13,0.35,-0.56,2.35,22.16,13.85,-7.59,,,,,,,126.0,15.0,133.9,,,2.5,c,0.05,0.44
NGC_6453,267.71551,-34.59848,355.718,-3.872,10.07,0.22,2.1,0.19,165000.0,3630.0,9.19,0.13,1.47,0.18,0.1,2.73,3.85,30.58,5.75,2.54,-99.23,1.24,7.2,0.203,0.036,-5.934,0.037,-0.04,5.11,3.33,9.0,0.03,0.62,29.2,-0.37,-0.1,,,,-1.84,0.22,-0.75,0.02,-0.68,0.01,115.73,1.24,22.09,1.74,-138.07,1.71,0.48,0.16,2.58,0.23,-1.5,0.64,17.88,10.08,-7.22,0.68,1.31,0.99,2.0,F8,0.09,-83.7,8.3,-76.7,,,2.5,c,0.05,0.44
UKS_1,268.61331,-24.14528,5.125,0.764,15.58,0.56,7.47,0.54,77000.0,0.0,17.3,0.0,1.8,0.0,1.1,2.87,3.84,47.13,3.09,2.22,59.38,2.63,4.2,-2.04,0.095,-2.754,0.063,-0.05,3.55,3.02,8.85,0.11,0.64,15.7,-0.34,-0.11,,,,-7.34,0.56,1.39,0.05,0.21,0.01,-92.36,2.66,6.82,5.36,35.16,6.48,0.47,0.11,7.76,0.69,-0.64,3.14,24.9,17.29,-6.91,,,,,,,57.0,6.0,66.7,,,2.1,,0.15,
VVV-CL001,268.67708,-24.01472,5.267,0.78,8.08,1.48,0.76,0.68,135000.0,31500.0,17.7,0.0,3.92,2.08,0.54,2.21,2.94,18.29,4.09,2.84,-327.28,0.9,6.4,-3.487,0.144,-1.652,0.107,0.26,4.24,3.5,8.75,0.14,0.64,25.4,-0.35,-0.11,,,,0.13,1.48,0.74,0.14,0.11,0.02,304.68,0.98,100.46,4.46,86.1,5.18,0.76,0.32,3.61,1.79,,,,,,,,,,,,,,,,,,,,
NGC_6496,269.76535,-44.26595,348.027,-10.014,9.64,0.15,2.81,0.09,68900.0,7260.0,8.65,0.1,1.63,0.22,2.54,4.4,6.42,28.78,2.09,1.49,-134.72,0.26,3.0,-3.06,0.027,-9.271,0.026,0.01,2.9,2.52,9.18,0.02,0.58,10.4,-0.22,-0.09,1.21,0.63,97.1,-1.11,0.15,-1.97,0.03,-1.68,0.03,223.08,0.41,-147.22,1.18,-46.09,1.19,2.62,0.12,4.62,0.28,-0.46,0.15,16.47,8.54,-7.2,0.45,0.98,,,G4,0.16,-112.7,5.7,-108.4,,,0.7,,0.95,1.02
Ter_9,270.41167,-26.83972,3.603,-1.989,5.77,0.34,2.46,0.32,120000.0,14100.0,12.73,0.13,3.21,0.54,0.25,1.6,1.9,29.71,4.92,3.32,68.49,0.56,7.8,-2.121,0.052,-7.763,0.049,0.03,4.74,3.8,8.38,1.15,0.03,31.3,-0.36,-0.09,,,,2.42,0.34,0.36,0.02,-0.2,0.01,-90.93,0.57,43.54,1.34,-49.49,1.4,0.39,0.1,2.47,0.39,-1.05,1.76,20.35,16.0,-3.71,,,,,,,59.0,10.0,68.1,,,2.5,c,0.03,0.78
Djor_2,270.45438,-27.82582,2.763,-2.508,8.76,0.18,0.8,0.13,125000.0,3460.0,10.7,0.15,3.64,0.38,1.19,4.29,5.16,12.07,3.1,2.06,-149.75,1.1,4.3,0.662,0.042,-2.983,0.037,0.0,3.6,2.98,9.03,1.84,0.76,16.4,-0.26,-0.03,,,,-0.57,0.18,0.42,0.01,-0.38,0.01,137.5,1.1,150.69,1.59,-71.13,1.69,0.62,0.15,0.84,0.12,-0.65,0.94,17.6,9.9,-7.0,,,,,,,,,,,,1.5,,0.33,1.05
NGC_6517,270.46075,-8.95878,19.225,6.762,9.23,0.56,3.24,0.26,195000.0,27900.0,10.69,0.07,2.34,0.35,0.13,1.68,2.29,43.38,5.68,3.29,-35.06,1.65,9.9,-1.551,0.029,-4.47,0.028,0.03,5.22,3.85,8.64,0.29,0.35,40.7,-0.37,-0.11,,,,-0.47,0.52,3.02,0.18,1.09,0.07,-49.29,1.6,49.57,1.29,-31.8,1.26,0.44,0.05,3.36,0.25,-1.23,1.08,19.1,10.23,-8.25,0.85,1.75,,2.31,F8,0.06,-39.6,8.0,-26.5,,,1.82,,0.06,0.5
Ter_10,270.74083,-26.06694,4.421,-1.864,10.21,0.4,2.17,0.37,302000.0,55500.0,14.73,0.12,5.54,1.14,0.26,3.43,4.6,33.96,5.02,2.57,211.37,2.27,8.8,-6.827,0.059,-2.588,0.05,0.01,4.84,3.43,9.22,-0.0,0.62,36.1,-0.41,-0.07,,,,-2.0,0.4,0.79,0.03,-0.33,0.01,-250.01,2.26,-1.78,2.51,226.33,2.79,1.01,0.23,5.44,0.93,,,,,,,,,,,,,,,,,,,,
NGC_6522,270.89198,-30.03397,1.025,-3.926,7.29,0.21,1.04,0.17,211000.0,13200.0,8.15,0.07,2.43,0.17,0.42,2.45,3.08,23.28,4.56,2.93,-15.23,0.49,8.2,2.566,0.039,-6.438,0.036,-0.02,4.58,3.62,8.85,0.8,0.73,32.5,-0.34,-0.06,1.43,2.21,24.4,0.9,0.21,0.13,0.0,-0.5,0.01,14.13,0.5,100.77,1.27,-177.41,1.32,0.45,0.12,1.31,0.15,-1.34,0.48,16.52,8.27,-7.65,0.65,1.21,0.76,1.51,F7/8,0.06,-21.1,3.4,-12.9,6.7,0.7,2.5,c,0.05,1.0
NGC_6535,270.96045,-0.29764,27.176,10.436,6.36,0.12,4.04,0.02,21900.0,3720.0,10.1,0.05,2.64,0.46,0.08,2.67,3.65,25.75,4.97,1.73,-214.85,0.46,2.7,-4.214,0.027,-2.939,0.026,0.01,4.3,2.49,8.54,0.02,0.79,11.0,-0.38,-0.13,,,,2.61,0.11,2.86,0.06,1.15,0.02,125.55,0.56,27.46,0.75,38.53,0.8,0.97,0.05,4.52,0.04,-1.79,0.34,15.75,10.47,-4.75,0.29,0.94,,,G0,0.08,-215.1,0.5,-200.4,2.4,0.5,1.33,,0.36,0.85
NGC_6528,271.2067,-30.05578,1.139,-4.174,7.83,0.24,0.7,0.1,56700.0,6540.0,9.71,0.11,1.78,0.26,0.33,1.91,2.73,8.41,4.24,2.53,211.86,0.43,4.7,-2.157,0.043,-5.649,0.039,-0.03,4.18,3.15,8.46,0.89,0.78,18.5,-0.32,-0.04,,,,0.37,0.24,0.16,0.0,-0.57,0.02,-224.45,0.45,34.29,1.5,-40.01,1.57,0.42,0.08,0.92,0.3,-0.11,0.54,16.95,9.6,-6.57,1.09,1.53,0.9,1.74,G3,0.11,206.6,1.4,214.9,,,1.5,,0.13,0.38
NGC_6539,271.20728,-7.58586,20.795,6.776,8.16,0.39,3.09,0.07,209000.0,17200.0,9.94,0.06,1.91,0.17,1.52,3.68,5.18,45.41,3.19,2.25,35.19,0.5,5.9,-6.896,0.026,-3.537,0.026,0.01,3.74,3.18,9.22,0.37,0.53,22.1,-0.28,-0.05,1.94,1.15,95.9,0.6,0.36,2.88,0.14,0.96,0.05,-113.23,0.59,25.68,0.96,178.92,1.01,2.11,0.14,3.41,0.16,-0.63,1.02,18.33,9.33,-8.29,1.01,1.83,,2.23,G4,0.08,31.0,1.7,44.4,,,1.74,,0.38,1.7
NGC_6540,271.53566,-27.76529,3.285,-3.313,5.91,0.27,2.34,0.25,34500.0,12400.0,9.74,0.19,1.39,0.52,0.06,2.66,5.32,17.05,5.14,1.44,-16.5,0.78,2.5,-3.702,0.032,-2.791,0.032,-0.02,4.37,2.4,9.09,-1.51,0.19,9.7,-0.36,-0.12,,,,2.29,0.27,0.34,0.02,-0.34,0.02,-4.5,0.78,132.96,0.89,60.79,0.89,1.07,0.16,2.32,0.27,-1.35,0.66,16.25,9.3,-6.35,,,,,,,-17.7,1.4,-8.8,,,2.5,,0.03,
NGC_6544,271.83383,-24.99822,5.837,-2.202,2.58,0.06,5.62,0.06,91400.0,5500.0,7.86,0.23,2.58,0.57,0.16,1.53,2.07,48.64,5.34,3.09,-38.46,0.67,7.0,-2.304,0.031,-18.604,0.03,0.01,4.9,3.6,8.36,0.52,0.72,29.0,-0.4,-0.08,,,,5.61,0.06,0.26,0.01,-0.1,0.0,8.78,0.67,36.33,0.38,-77.12,0.38,0.6,0.09,5.54,0.1,-1.4,0.76,15.3,7.77,-6.94,0.73,1.46,0.98,1.92,F9,0.22,-27.3,3.9,-17.7,,,1.63,c:,0.05,1.21
NGC_6541,272.00983,-43.71489,349.286,-11.188,7.61,0.1,2.19,0.01,293000.0,8780.0,6.61,0.05,1.75,0.08,0.09,2.29,4.34,38.94,5.99,2.64,-163.97,0.46,8.6,0.287,0.025,-8.847,0.025,0.0,5.31,3.48,9.29,-0.78,0.5,34.9,-0.38,-0.11,3.73,1.15,100.0,0.84,0.1,-1.39,0.02,-1.48,0.02,228.32,0.5,12.92,0.87,-112.1,0.88,1.56,0.04,3.59,0.02,-1.81,0.14,15.35,6.3,-8.52,0.13,0.76,0.49,1.01,F6,0.12,-158.7,2.3,-154.2,8.2,2.1,1.86,c:,0.18,1.06
2MASS-GC01,272.09085,-19.82972,10.471,0.1,3.37,0.62,4.9,0.57,35100.0,0.0,27.7,0.0,1.8,0.0,0.5,3.53,4.7,28.9,3.43,1.62,-31.28,0.5,2.7,-1.121,0.296,-1.881,0.235,0.28,3.54,2.49,8.81,0.1,0.62,11.2,-0.38,-0.08,,,,4.86,0.61,0.61,0.11,0.01,0.0,13.3,0.87,212.15,3.92,8.27,4.5,3.67,0.59,5.11,0.55,,6.8,34.5,27.74,-6.11,,,,,,,,,,,,0.85,,0.85,1.65
ESO_280-SC06,272.275,-46.42333,346.899,-12.571,20.95,0.65,13.41,0.61,7800.0,1930.0,12.51,0.11,1.72,0.46,2.38,7.02,9.65,44.09,1.01,0.03,93.2,0.34,0.8,-0.688,0.039,-2.777,0.033,0.09,1.81,1.23,9.08,-0.09,0.62,3.2,-0.31,-0.08,,,,-11.73,0.61,-4.63,0.14,-4.56,0.14,-23.86,1.08,-35.62,3.37,-72.64,3.69,1.41,0.35,13.81,0.71,-1.8,0.07,17.4,12.0,-4.87,,,,,,,,,,,,0.9,,0.6,1.05
NGC_6553,272.31532,-25.90775,5.25,-3.023,5.33,0.13,2.93,0.12,285000.0,15800.0,8.05,0.07,3.22,0.25,0.87,2.33,4.56,48.25,3.83,2.56,-0.27,0.34,7.5,0.344,0.03,-0.454,0.029,0.01,4.18,3.43,9.26,-0.42,0.5,28.7,-0.35,-0.11,2.33,0.82,100.0,2.88,0.13,0.49,0.01,-0.28,0.01,-10.68,0.35,246.32,0.75,-5.88,0.76,2.81,0.13,3.59,0.1,-0.18,0.63,16.6,8.06,-7.77,1.34,1.73,1.01,2.13,G4,0.17,-3.2,1.5,6.1,,,1.16,,0.53,1.03
2MASS-GC02,272.4021,-20.77889,9.782,-0.615,5.5,0.44,2.91,0.37,15800.0,0.0,24.6,0.0,1.8,0.0,0.63,2.2,2.85,15.28,3.04,1.91,-237.75,10.1,2.2,4.0,0.9,-4.7,0.8,0.0,3.24,2.58,8.31,0.6,0.67,8.5,-0.33,-0.13,,,,2.76,0.43,0.93,0.07,-0.06,0.0,215.12,10.52,155.55,21.3,-140.82,22.82,0.87,0.21,6.11,0.84,-1.08,5.16,30.1,24.6,-4.86,,,,,,,-238.0,36.0,-227.4,,,0.95,,0.55,0.55
NGC_6558,272.57397,-31.76451,0.199,-6.023,7.47,0.29,1.08,0.17,26500.0,817.0,9.66,0.16,1.16,0.07,0.17,1.47,1.7,9.51,4.8,2.81,-195.12,0.73,4.1,-1.72,0.036,-4.144,0.034,0.04,4.39,3.24,7.95,1.4,0.63,16.5,-0.35,-0.08,,,,0.75,0.29,0.03,0.0,-0.78,0.03,184.06,0.74,93.4,1.2,11.89,1.25,0.51,0.04,1.41,0.34,-1.32,0.44,16.3,9.26,-6.44,0.58,1.11,0.71,1.46,F7,,-197.2,1.5,-189.4,3.1,0.9,2.5,c,0.03,2.15
